timestamp,name,role,p1,p2,p3,c1,c2,c3,c4
-,A,physics,E,H,I,4,2,5,1
-,B,physics,L,K,T,4,5,1,5
-,C,physics,I,H,L,5,3,1,5
-,D,physics,F,E,I,3,3,4,4
-,E,physics,M,B,L,4,3,3,3
-,F,physics,N,M,I,3,4,3,5
-,G,physics,S,C,A,5,2,1,2
-,H,physics,T,G,K,3,3,1,4
-,I,business,P,N,K,5,2,5,3
-,J,business,N,M,C,4,5,1,4
-,K,business,T,I,G,1,2,3,1
-,L,business,M,T,J,5,4,3,1
-,M,business,R,L,A,3,1,2,2
-,N,business,G,O,K,3,4,4,3
-,O,business,L,F,M,3,2,4,4
-,P,business,F,K,D,5,3,2,5
-,Q,software,G,S,R,1,4,1,3
-,R,software,N,M,B,2,5,3,5
-,S,software,J,R,E,1,5,5,5
-,T,software,N,K,D,3,2,2,5
